Classifier,Mean,St.dev.,Precision,Recall,F1-score,Model parameters,Features
LDA,0.758,0.142,0.683,0.617,0.607,"{'covariance_estimator': None, 'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'svd', 'store_covariance': False, 'tol': 0.0001}","['Delta-pow-CP4', 'Gamma-pow-Fp1', 'Theta-pow-CP3', 'Kurt-FT7', 'Skew-T6', 'Kurt-FC3', 'Delta-pow-C4', 'Skew-FT7', 'Skew-O1', 'Total-pow-T4', 'Kurt-FCz', 'Kurt-F7', 'Var-Fp2', 'Theta-pow-F8', 'Skew-CP4', 'Gamma-pow-F3', 'Var-FT8', 'Theta-pow-C4', 'Delta-pow-CPz', 'Theta-pow-T4']"
SVM (RBF),0.617,0.205,0.3,0.133,0.183,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
SVM (Lin),0.725,0.19,0.667,0.433,0.497,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
KNN,0.75,0.175,0.75,0.483,0.55,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",
DT,0.733,0.226,0.617,0.517,0.543,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",
MVE,0.725,0.19,0.7,0.383,0.483,,
