Classifier,Min,Max,Mean,Precision,Recall,F1-score,Model parameters,Features
LDA,0.25,1.0,0.56,0.492,0.467,0.472,"{'covariance_estimator': None, 'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'svd', 'store_covariance': False, 'tol': 0.0001}","['Delta-pow-TP8', 'Kurt-P3', 'Var-F7', 'Theta-pow-T4', 'Skew-F7', 'Delta-pow-P4', 'Gamma-pow-Fz', 'Delta-pow-CP4', 'Skew-Fpz', 'Delta-pow-temporal', 'Delta-pow-Pz', 'Skew-C3', 'Gamma-pow-FCz', 'Delta-pow-Cz', 'Delta-pow-T4', 'Skew-F3', 'Delta-pow-C4', 'Mean-Fpz', 'Delta-pow-T6', 'Gamma-pow-Cz']"
SVM (RBF),0.2,0.8,0.495,0.32,0.233,0.217,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
SVM (Lin),0.25,1.0,0.61,0.55,0.333,0.397,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
KNN,0.4,1.0,0.66,0.65,0.483,0.523,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",
DT,0.0,1.0,0.605,0.625,0.617,0.592,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",
RF,0.25,1.0,0.59,0.508,0.5,0.482,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",
MVE,0.4,1.0,0.615,0.6,0.35,0.427,,
