Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features, y_true, y_pred,y_true,y_pred
LDA,0.683,0.238,0.667,0.633,0.593,True,"['Theta-pow-F8', 'Delta-pow-T4', 'Total-pow-F4', 'Beta-pow-T4', 'Theta-pow-F7', 'Beta-pow-Fp1', 'Delta-pow-F7']",,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
SVM (RBF),0.517,0.278,0.4,0.25,0.3,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
SVM (Lin),0.508,0.216,0.0,0.0,0.0,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
KNN,0.567,0.271,0.55,0.35,0.417,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
DT,0.475,0.344,0.367,0.4,0.357,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
MVE,0.517,0.278,0.4,0.25,0.3,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0
 1]"
