Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features, y_true, y_pred,y_true,y_pred
LDA,0.8,0.187,0.7,0.65,0.63,True,"['BIMF2-S-T6', 'BIMF1-S-T6', 'BIMF5-S-Fp1', 'BIMF5-S-TP8', 'BIMF1-C-Fpz', 'BIMF2-S-Fp2', 'BIMF4-S-CPz', 'BIMF1-S-FC4', 'BIMF5-S-F4']",,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
SVM (RBF),0.508,0.216,0.0,0.0,0.0,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
SVM (Lin),0.508,0.216,0.0,0.0,0.0,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
KNN,0.667,0.274,0.658,0.667,0.603,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
DT,0.733,0.196,0.65,0.567,0.58,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
MVE,0.675,0.177,0.7,0.383,0.483,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
 0]"
