Classifier,Min,Max,Mean,Precision,Recall,F1-score,Model parameters,Features
LDA,0.0,0.8,0.555,0.633,0.6,0.563,"{'covariance_estimator': None, 'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'svd', 'store_covariance': False, 'tol': 0.0001}","['Total-pow-T4', 'Mean-CP4', 'Kurt-FT8', 'Gamma-pow-F3', 'Kurt-FCz', 'Theta-pow-F8', 'Delta-pow-T4', 'Theta-pow-T4', 'Skew-O1', 'Gamma-pow-Fz', 'Delta-pow-CP4', 'Kurt-F7', 'Var-FT8', 'Skew-T6', 'Var-T4', 'Gamma-pow-Cz', 'Delta-pow-C4', 'Kurt-Pz', 'Var-Fp2', 'Total-pow-F8']"
SVM (RBF),0.2,0.75,0.39,0.17,0.267,0.18,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
SVM (Lin),0.2,0.8,0.535,0.45,0.283,0.313,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",
KNN,0.2,1.0,0.58,0.517,0.467,0.47,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",
DT,0.2,0.8,0.475,0.517,0.35,0.38,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",
RF,0.25,1.0,0.545,0.507,0.45,0.43,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",
MVE,0.2,1.0,0.56,0.45,0.317,0.357,,
