Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features, y_true, y_pred,y_true,y_pred
LDA,0.675,0.16,0.7,0.6,0.593,True,"['Total-pow-T4', 'Alpha-pow-Fp1', 'Beta-pow-TP7']",,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
SVM (RBF),0.525,0.208,0.533,0.417,0.417,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
SVM (Lin),0.4,0.166,0.033,0.1,0.05,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
KNN,0.525,0.075,0.533,0.417,0.417,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
DT,0.475,0.236,0.475,0.417,0.397,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
MVE,0.5,0.158,0.533,0.367,0.383,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0
 0 1 0]"
