Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features, y_true, y_pred,y_true,y_pred
LDA,0.675,0.195,0.583,0.65,0.56,True,['Delta-pow-temporal'],,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
SVM (RBF),0.7,0.187,0.65,0.75,0.64,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
SVM (Lin),0.4,0.166,0.033,0.1,0.05,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
KNN,0.725,0.208,0.717,0.717,0.643,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
DT,0.475,0.236,0.4,0.317,0.327,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
MVE,0.675,0.195,0.617,0.617,0.543,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0
 0 0 1]","[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0
 0 0 0]"
