Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features
LDA,0.808,0.129,0.867,0.617,0.693,True,"['Kurt-FCz', 'Skew-T4', 'BIMF1-S-TP8', 'Var-Fp2', 'Skew-FT7', 'Kurt-FC3', 'Skew-O1', 'BIMF2-S-T6', 'BIMF1-C-Fpz']"
SVM (RBF),0.608,0.269,0.4,0.2,0.267,True,
SVM (Lin),0.658,0.29,0.4,0.25,0.3,True,
KNN,0.725,0.19,0.8,0.433,0.55,True,
DT,0.633,0.159,0.617,0.667,0.597,True,
MVE,0.742,0.231,0.7,0.433,0.517,True,
