Classifier,Mean,St.dev.,Precision,Recall,F1-score,Remove corr,Features, y_true, y_pred,y_true,y_pred
LDA,0.858,0.145,0.867,0.717,0.76,True,"['Kurt-FCz', 'Skew-T4', 'BIMF1-S-TP8', 'Var-Fp2', 'Skew-FT7', 'Kurt-FC3', 'Skew-O1', 'BIMF2-S-T6']",,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
SVM (RBF),0.608,0.269,0.4,0.2,0.267,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
SVM (Lin),0.533,0.253,0.0,0.0,0.0,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
KNN,0.725,0.19,0.8,0.433,0.55,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
DT,0.567,0.196,0.55,0.633,0.533,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
MVE,0.75,0.175,0.8,0.433,0.55,True,,,,"[1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 1]","[1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 1]"
